Abundance|10E=167
Drudge Skeletons (1)|10E=20
Drudge Skeletons (2)|10E=52
Duct Crawler|10E=9
Dusk Imp (1)|10E=5
Dusk Imp (2)|10E=47
Earth Elemental|10E=6
Elven Riders|10E=11
Elvish Berserker|10E=9
Elvish Champion (1)|10E=5210
Elvish Champion (2)|10E=1315
Elvish Piper|10E=351
Enormous Baloth|10E=9
Essence Drain|10E=8
Evacuation|10E=78
Faerie Conclave (1)|10E=373
Faerie Conclave (2)|10E=66
Fear (1)|10E=35
Fear (2)|10E=16
Femeref Archers|10E=14
Festering Goblin|10E=17
Field Marshal (1)|10E=639
Field Marshal (2)|10E=962
Firebreathing (1)|10E=69
Firebreathing (2)|10E=7
Fists of the Anvil|10E=17
Flamewave Invoker|10E=15
Flashfreeze|10E=14
Flowstone Slide|10E=25
Fog Elemental (1)|10E=7
Fog Elemental (2)|10E=80
Forbidding Watchtower|10E=31
Forest (1)|10E=30
Forest (2)|10E=27
Forest (3)|10E=48
Forest (4)|10E=647
Fountain of Youth|10E=21
Fugitive Wizard|10E=8
Furnace Whelp (1)|10E=15
Furnace Whelp (2)|10E=78
Furnace of Rath|10E=685
Gaea's Herald|10E=230
Ghitu Encampment (1)|10E=20
Ghitu Encampment (2)|10E=123
Ghost Warden|10E=10
Giant Growth|10E=9
Giant Spider (1)|10E=29
Giant Spider (2)|10E=5
Glorious Anthem|10E=43
Goblin Elite Infantry|10E=15
Goblin King (1)|10E=1326
Goblin King (2)|10E=3332
Goblin Lore|10E=166
Goblin Piker|10E=10
Goblin Sky Raider (1)|10E=23
Goblin Sky Raider (2)|10E=19
Grave Pact|10E=2305
Graveborn Muse|10E=626
Gravedigger|10E=5
Grizzly Bears|10E=19
Guerrilla Tactics|10E=6
Hail of Arrows|10E=29
Hate Weaver|10E=7
Head Games|10E=314
Heart of Light (1)|10E=9
Heart of Light (2)|10E=25
Hidden Horror|10E=8
High Ground|10E=30
Highway Robber|10E=5
Hill Giant|10E=4
Holy Day|10E=48
Holy Strength (1)|10E=44
Holy Strength (2)|10E=4
Honor Guard|10E=13
Horseshoe Crab|10E=14
Howling Mine|10E=424
Hunted Wumpus|10E=13
Hurkyl's Recall|10E=166
Hurricane|10E=45
Hypnotic Specter (1)|10E=700
Hypnotic Specter (2)|10E=144
Icatian Priest|10E=8
Icy Manipulator|10E=25
Incinerate|10E=16
Island (1)|10E=47
Island (2)|10E=30
Island (3)|10E=193
Island (4)|10E=19
Jayemdae Tome|10E=30
Joiner Adept|10E=424
Juggernaut|10E=39
Kamahl, Pit Fighter (1)|10E=66
Kamahl, Pit Fighter (2)|10E=32
Karplusan Forest|10E=744
Karplusan Strider|10E=4
Kavu Climber|10E=3
Kjeldoran Royal Guard|10E=15
Knight of Dusk|10E=47
Kraken's Eye|10E=26
Lava Axe|10E=18
Lavaborn Muse|10E=31
Legacy Weapon|10E=68
Leonin Scimitar (1)|10E=14
Leonin Scimitar (2)|10E=67
Lightning Elemental (1)|10E=33
Lightning Elemental (2)|10E=7
Llanowar Elves|10E=26
Llanowar Sentinel|10E=10
Llanowar Wastes|10E=280
Looming Shade|10E=6
Lord of the Pit (1)|10E=41
Lord of the Pit (2)|10E=411
Lord of the Undead|10E=1275
Loxodon Mystic|10E=7
Loxodon Warhammer (1)|10E=127
Loxodon Warhammer (2)|10E=1099
Loyal Sentry|10E=38
Lumengrid Warden|10E=7
Luminesce|10E=15
Lure (1)|10E=89
Lure (2)|10E=20
Mahamoti Djinn (1)|10E=143
Mahamoti Djinn (2)|10E=25
Manabarbs|10E=442
Mantis Engine (1)|10E=49
Mantis Engine (2)|10E=23
March of the Machines (1)|10E=2998
March of the Machines (2)|10E=171
Mass of Ghouls|10E=21
Megrim|10E=94
Merfolk Looter|10E=16
Midnight Ritual|10E=28
Might Weaver (1)|10E=2
Might Weaver (2)|10E=49
Might of Oaks|10E=40
Millstone|10E=42
Mind Bend (1)|10E=142
Mind Bend (2)|10E=1500
Mind Rot|10E=14
Mind Stone|10E=77
Mirri, Cat Warrior (1)|10E=335
Mirri, Cat Warrior (2)|10E=3044
Mobilization (1)|10E=797
Mobilization (2)|10E=94
Mogg Fanatic|10E=37
Molimo, Maro-Sorcerer (1)|10E=29
Molimo, Maro-Sorcerer (2)|10E=318
Mortal Combat|10E=512
Mortivore (1)|10E=783
Mortivore (2)|10E=93
Mountain (1)|10E=26
Mountain (2)|10E=30
Mountain (3)|10E=50
Mountain (4)|10E=27
Nantuko Husk|10E=20
Natural Spring|10E=11
Naturalize|10E=12
Nekrataal (1)|10E=148
Nekrataal (2)|10E=25
Nightmare (1)|10E=165
Nightmare (2)|10E=56
No Rest for the Wicked|10E=40
Nomad Mythmaker (1)|10E=395
Nomad Mythmaker (2)|10E=1199
Orcish Artillery|10E=23
Ornithopter (1)|10E=1299
Ornithopter (2)|10E=89
Overgrowth (1)|10E=31
Overgrowth (2)|10E=1254
Overrun (1)|10E=225
Overrun (2)|10E=26
Pacifism (1)|10E=3
Pacifism (2)|10E=42
Paladin en-Vec (1)|10E=127
Paladin en-Vec (2)|10E=73
Pariah (1)|10E=2088
Pariah (2)|10E=189
Peek|10E=38
Persuasion (1)|10E=98
Persuasion (2)|10E=37
Phage the Untouchable|10E=1125
Phantom Warrior|10E=6
Phyrexian Rager|10E=20
Phyrexian Vault|10E=21
Pincher Beetles (1)|10E=25
Pincher Beetles (2)|10E=26
Pithing Needle|10E=114
Plagiarize|10E=40
Plague Beetle (1)|10E=33
Plague Beetle (2)|10E=20
Plague Wind|10E=251
Plains (1)|10E=42
Plains (2)|10E=14
Plains (3)|10E=29
Plains (4)|10E=12
Platinum Angel (1)|10E=884
Platinum Angel (2)|10E=2896
Primal Rage (1)|10E=3000
Primal Rage (2)|10E=477
Prodigal Pyromancer|10E=13
Puppeteer|10E=27
Pyroclasm|10E=41
Quicksand|10E=24
Quirion Dryad|10E=32
Rage Weaver (1)|10E=9
Rage Weaver (2)|10E=33
Raging Goblin (1)|10E=24
Raging Goblin (2)|10E=139
Rain of Tears|10E=33
Rampant Growth|10E=33
Ravenous Rats|10E=13
Razormane Masticore (1)|10E=24
Razormane Masticore (2)|10E=60
Recollect|10E=31
Recover|10E=8
Regeneration (1)|10E=24
Regeneration (2)|10E=31
Relentless Assault|10E=417
Relentless Rats|10E=229
Reminisce|10E=16
Remove Soul|10E=20
Reviving Dose|10E=5
Reya Dawnbringer (1)|10E=379
Reya Dawnbringer (2)|10E=464
Rhox (1)|10E=58
Rhox (2)|10E=165
Righteousness|10E=34
Robe of Mirrors (1)|10E=231
Robe of Mirrors (2)|10E=28
Rock Badger (1)|10E=49
Rock Badger (2)|10E=7
Rod of Ruin|10E=9
Root Maze|10E=494
Rootwalla|10E=3
Rootwater Commando (1)|10E=24
Rootwater Commando (2)|10E=27
Rootwater Matriarch|10E=70
Royal Assassin|10E=122
Rule of Law|10E=58
Rushwood Dryad (1)|10E=43
Rushwood Dryad (2)|10E=7
Sage Owl (1)|10E=13
Sage Owl (2)|10E=50
Samite Healer|10E=3
Scalpelexis (1)|10E=26
Scalpelexis (2)|10E=109
Scathe Zombies|10E=6
Scion of the Wild|10E=23
Scoria Wurm|10E=52
Sculpting Steel|10E=112
Sea Monster|10E=14
Seedborn Muse|10E=1090
Seismic Assault|10E=141
Sengir Vampire (1)|10E=37
Sengir Vampire (2)|10E=105
Serra Angel (1)|10E=727
Serra Angel (2)|10E=43
Serra's Embrace (1)|10E=18
Serra's Embrace (2)|10E=87
Severed Legion (1)|10E=36
Severed Legion (2)|10E=7
Shatterstorm|10E=34
Shimmering Wings (1)|10E=22
Shimmering Wings (2)|10E=86
Shivan Dragon (1)|10E=41
Shivan Dragon (2)|10E=961
Shivan Hellkite (1)|10E=40
Shivan Hellkite (2)|10E=1499
Shivan Reef|10E=322
Shock|10E=11
Shunt|10E=78
Siege-Gang Commander|10E=80
Sift|10E=6
Sky Weaver (1)|10E=8
Sky Weaver (2)|10E=30
Skyhunter Patrol (1)|10E=5
Skyhunter Patrol (2)|10E=50
Skyhunter Prowler (1)|10E=3
Skyhunter Prowler (2)|10E=52
Skyhunter Skirmisher (1)|10E=105
Skyhunter Skirmisher (2)|10E=27
Skyshroud Ranger|10E=351
Sleeper Agent|10E=179
Smash|10E=12
Snapping Drake (1)|10E=3
Snapping Drake (2)|10E=17
Soul Feast|10E=13
Soul Warden|10E=337
Soulblast|10E=47
Spark Elemental (1)|10E=23
Spark Elemental (2)|10E=75
Spawning Pool (1)|10E=100
Spawning Pool (2)|10E=41
Spellbook|10E=190
Spiketail Hatchling (1)|10E=34
Spiketail Hatchling (2)|10E=38
Spined Wurm|10E=8
Spineless Thug|10E=4
Spirit Link (1)|10E=427
Spirit Link (2)|10E=49
Spirit Weaver|10E=6
Spitting Earth|10E=5
Squee, Goblin Nabob|10E=144
Stalking Tiger|10E=10
Stampeding Wildebeests (1)|10E=77
Stampeding Wildebeests (2)|10E=11
Starlight Invoker|10E=9
Steadfast Guard (1)|10E=10
Steadfast Guard (2)|10E=19
Steel Golem|10E=134
Story Circle|10E=82
Stronghold Discipline|10E=9
Stun|10E=21
Sudden Impact|10E=16
Sulfurous Springs|10E=607
Sunken Hope|10E=31
Suntail Hawk (1)|10E=66
Suntail Hawk (2)|10E=9
Swamp (1)|10E=36
Swamp (2)|10E=28
Swamp (3)|10E=27
Swamp (4)|10E=28
Sylvan Basilisk|10E=39
Sylvan Scrying|10E=94
Tangle Spider (1)|10E=151
Tangle Spider (2)|10E=20
Telepathy|10E=47
Telling Time|10E=38
Tempest of Light|10E=13
Terramorphic Expanse|10E=15
Terror|10E=30
The Hive (1)|10E=29
The Hive (2)|10E=127
Thieving Magpie (1)|10E=86
Thieving Magpie (2)|10E=17
Threaten (1)|10E=164
Threaten (2)|10E=26
Thrull Surgeon|10E=14
Thundering Giant (1)|10E=22
Thundering Giant (2)|10E=48
Tidings|10E=28
Time Stop (1)|10E=6985
Time Stop (2)|10E=219
Time Stretch|10E=341
Traumatize|10E=500
Treasure Hunter|10E=30
Treetop Bracers (1)|10E=27
Treetop Bracers (2)|10E=21
Treetop Village (1)|10E=515
Treetop Village (2)|10E=58
Troll Ascetic (1)|10E=99
Troll Ascetic (2)|10E=58
True Believer (1)|10E=333
True Believer (2)|10E=183
Tundra Wolves (1)|10E=29
Tundra Wolves (2)|10E=43
Twincast|10E=455
Twitch|10E=16
Uncontrollable Anger (1)|10E=6
Uncontrollable Anger (2)|10E=23
Underground River|10E=470
Underworld Dreams|10E=555
Unholy Strength (1)|10E=11
Unholy Strength (2)|10E=39
Unsummon|10E=17
Upwelling (1)|10E=899
Upwelling (2)|10E=125
Vampire Bats (1)|10E=9
Vampire Bats (2)|10E=37
Vedalken Mastermind|10E=33
Venerable Monk|10E=26
Verdant Force|10E=48
Viashino Runner|10E=9
Viashino Sandscout (1)|10E=10
Viashino Sandscout (2)|10E=50
Viridian Shaman|10E=13
Voice of All (1)|10E=45
Voice of All (2)|10E=746
Wall of Air (1)|10E=32
Wall of Air (2)|10E=132
Wall of Fire (1)|10E=16
Wall of Fire (2)|10E=58
Wall of Swords (1)|10E=35
Wall of Swords (2)|10E=35
Wall of Wood (1)|10E=14
Wall of Wood (2)|10E=154
Warp World|10E=95
Warrior's Honor|10E=9
Whispersilk Cloak (1)|10E=306
Whispersilk Cloak (2)|10E=3362
Wild Griffin (1)|10E=5
Wild Griffin (2)|10E=18
Windborn Muse (1)|10E=699
Windborn Muse (2)|10E=98
Wrath of God|10E=446
Wurm's Tooth|10E=9
Yavimaya Coast|10E=228
Yavimaya Enchantress|10E=27
Youthful Knight (1)|10E=53
Youthful Knight (2)|10E=3
Air Elemental|2ED=691
Ancestral Recall|2ED=378955
Animate Artifact|2ED=225
Animate Dead|2ED=3631
Animate Wall|2ED=954
Ankh of Mishra|2ED=7935
Armageddon|2ED=12424
Aspect of Wolf|2ED=1587
Bad Moon|2ED=9000
Badlands|2ED=60076
Balance|2ED=10417
Basalt Monolith|2ED=2167
Bayou|2ED=51753
Benalish Hero|2ED=83
Berserk|2ED=12124
Birds of Paradise|2ED=27500
Black Knight|2ED=1597
Black Lotus|2ED=1059898
Black Vise|2ED=3097
Black Ward|2ED=321
Blaze of Glory|2ED=10118
Blessing|2ED=2554
Blue Elemental Blast|2ED=345
Blue Ward|2ED=227
Bog Wraith|2ED=470
Braingeyser|2ED=8180
Burrowing|2ED=291
Camouflage|2ED=1058
Castle|2ED=372
Celestial Prism|2ED=163
Channel|2ED=501
Chaos Orb|2ED=98999
Chaoslace|2ED=419
Circle of Protection: Black|2ED=69
Circle of Protection: Blue|2ED=74
Circle of Protection: Green|2ED=75
Circle of Protection: Red|2ED=152
Circle of Protection: White|2ED=98
Clockwork Beast|2ED=828
Clone|2ED=1115
Cockatrice|2ED=3738
Consecrate Land|2ED=692
Conservator|2ED=409
Contract from Below|2ED=2062
Control Magic|2ED=1741
Conversion|2ED=238
Copper Tablet|2ED=6788
Copy Artifact|2ED=26850
Counterspell|2ED=5242
Craw Wurm|2ED=83
Creature Bond|2ED=67
Crystal Rod|2ED=333
Cursed Land|2ED=326
Cyclopean Tomb|2ED=12000
Dark Ritual|2ED=1241
Darkpact|2ED=1739
Death Ward|2ED=79
Deathgrip|2ED=318
Deathlace|2ED=677
Demonic Attorney|2ED=2699
Demonic Hordes|2ED=3266
Demonic Tutor|2ED=11786
Dingus Egg|2ED=1997
Disenchant|2ED=417
Disintegrate|2ED=176
Disrupting Scepter|2ED=3238
Dragon Whelp|2ED=684
Drain Life|2ED=187
Drain Power|2ED=2953
Drudge Skeletons|2ED=107
Dwarven Demolition Team|2ED=526
Dwarven Warriors|2ED=87
Earth Elemental|2ED=309
Earthbind|2ED=1294
Earthquake|2ED=5583
Elvish Archers|2ED=3169
Evil Presence|2ED=370
False Orders|2ED=203
Farmstead|2ED=1765
Fastbond|2ED=12481
Fear|2ED=112
Feedback|2ED=199
Fire Elemental|2ED=809
Fireball|2ED=339
Firebreathing|2ED=81
Flashfires|2ED=175
Flight|2ED=62
Fog|2ED=116
Force of Nature|2ED=6157
Forcefield|2ED=45000
Forest (1)|2ED=295
Forest (2)|2ED=273
Forest (3)|2ED=242
Fork|2ED=10150
Frozen Shade|2ED=53
Fungusaur|2ED=1118
Gaea's Liege|2ED=1331
Gauntlet of Might|2ED=44954
Giant Growth|2ED=229
Giant Spider|2ED=86
Glasses of Urza|2ED=855
Gloom|2ED=909
Goblin Balloon Brigade|2ED=708
Goblin King|2ED=5711
Granite Gargoyle|2ED=4924
Gray Ogre|2ED=55
Green Ward|2ED=214
Grizzly Bears|2ED=66
Guardian Angel|2ED=88
Healing Salve|2ED=86
Helm of Chatzuk|2ED=1517
Hill Giant|2ED=66
Holy Armor|2ED=88
Holy Strength|2ED=89
Howl from Beyond|2ED=77
Howling Mine|2ED=18500
Hurloon Minotaur|2ED=71
Hurricane|2ED=698
Hypnotic Specter|2ED=3945
Ice Storm|2ED=5915
Icy Manipulator|2ED=9017
Illusionary Mask|2ED=19520
Instill Energy|2ED=901
Invisibility|2ED=153
Iron Star|2ED=197
Ironclaw Orcs|2ED=87
Ironroot Treefolk|2ED=76
Island (1)|2ED=257
Island (2)|2ED=431
Island (3)|2ED=388
Island Sanctuary|2ED=2197
Ivory Cup|2ED=212
Jade Monolith|2ED=1193
Jade Statue|2ED=1015
Jayemdae Tome|2ED=12073
Juggernaut|2ED=1322
Jump|2ED=34
Karma|2ED=408
Keldon Warlord|2ED=649
Kormus Bell|2ED=3258
Kudzu|2ED=3870
Lance|2ED=219
Ley Druid|2ED=246
Library of Leng|2ED=1459
Lich|2ED=15099
Lifeforce|2ED=296
Lifelace|2ED=560
Lifetap|2ED=306
Lightning Bolt|2ED=2330
Living Artifact|2ED=1159
Living Lands|2ED=1499
Living Wall|2ED=692
Llanowar Elves|2ED=651
Lord of Atlantis|2ED=4008
Lord of the Pit|2ED=9883
Lure|2ED=450
Magical Hack|2ED=1733
Mahamoti Djinn|2ED=8600
Mana Flare|2ED=7912
Mana Short|2ED=2411
Mana Vault|2ED=19098
Manabarbs|2ED=2625
Meekstone|2ED=4409
Merfolk of the Pearl Trident|2ED=60
Mesa Pegasus|2ED=106
Mind Twist|2ED=11247
Mons's Goblin Raiders|2ED=67
Mountain (1)|2ED=276
Mountain (2)|2ED=237
Mountain (3)|2ED=286
Mox Emerald|2ED=219934
Mox Jet|2ED=280000
Mox Pearl|2ED=250000
Mox Ruby|2ED=150500
Mox Sapphire|2ED=390000
Natural Selection|2ED=8176
Nether Shadow|2ED=1099
Nettling Imp|2ED=625
Nevinyrral's Disk|2ED=13119
Nightmare|2ED=6578
Northern Paladin|2ED=2987
Obsianus Golem|2ED=295
Orcish Artillery|2ED=264
Orcish Oriflamme|2ED=227
Paralyze|2ED=148
Pearled Unicorn|2ED=70
Personal Incarnation|2ED=2599
Pestilence|2ED=342
Phantasmal Forces|2ED=279
Phantasmal Terrain|2ED=67
Phantom Monster|2ED=318
Pirate Ship|2ED=1552
Plague Rats|2ED=155
Plains (1)|2ED=379
Plains (2)|2ED=264
Plains (3)|2ED=287
Plateau|2ED=58333
Power Leak|2ED=77
Power Sink|2ED=124
Power Surge|2ED=2119
Prodigal Sorcerer|2ED=167
Psionic Blast|2ED=6266
Psychic Venom|2ED=123
Purelace|2ED=969
Raging River|2ED=14332
Raise Dead|2ED=104
Red Elemental Blast|2ED=888
Red Ward|2ED=175
Regeneration|2ED=65
Regrowth|2ED=1628
Resurrection|2ED=564
Reverse Damage|2ED=2797
Righteousness|2ED=2697
Roc of Kher Ridges|2ED=1070
Rock Hydra|2ED=4583
Rod of Ruin|2ED=155
Royal Assassin|2ED=14000
Sacrifice|2ED=1029
Samite Healer|2ED=46
Savannah|2ED=60000
Savannah Lions|2ED=18000
Scathe Zombies|2ED=79
Scavenging Ghoul|2ED=170
Scrubland|2ED=54550
Scryb Sprites|2ED=142
Sea Serpent|2ED=91
Sedge Troll|2ED=18723
Sengir Vampire|2ED=2941
Serra Angel|2ED=6499
Shanodin Dryads|2ED=54
Shatter|2ED=113
Shivan Dragon|2ED=25369
Simulacrum|2ED=717
Sinkhole|2ED=2686
Siren's Call|2ED=256
Sleight of Mind|2ED=1173
Smoke|2ED=1889
Sol Ring|2ED=10740
Soul Net|2ED=278
Spell Blast|2ED=91
Stasis|2ED=5150
Steal Artifact|2ED=360
Stone Giant|2ED=224
Stone Rain|2ED=167
Stream of Life|2ED=172
Sunglasses of Urza|2ED=3317
Swamp (1)|2ED=319
Swamp (2)|2ED=472
Swamp (3)|2ED=291
Swords to Plowshares|2ED=7419
Taiga|2ED=44535
Terror|2ED=302
The Hive|2ED=2390
Thicket Basilisk|2ED=430
Thoughtlace|2ED=1125
Throne of Bone|2ED=248
Timber Wolves|2ED=2481
Time Vault|2ED=78500
Time Walk|2ED=320000
Timetwister|2ED=423405
Tranquility|2ED=81
Tropical Island|2ED=90000
Tsunami|2ED=399
Tundra|2ED=87500
Tunnel|2ED=196
Twiddle|2ED=149
Two-Headed Giant of Foriys|2ED=6854
Underground Sea|2ED=108575
Unholy Strength|2ED=145
Unsummon|2ED=131
Uthden Troll|2ED=543
Verduran Enchantress|2ED=4430
Vesuvan Doppelganger|2ED=16250
Veteran Bodyguard|2ED=1700
Volcanic Eruption|2ED=1456
Volcanic Island|2ED=125000
Wall of Air|2ED=100
Wall of Bone|2ED=294
Wall of Brambles|2ED=214
Wall of Fire|2ED=263
Wall of Ice|2ED=210
Wall of Stone|2ED=496
Wall of Swords|2ED=424
Wall of Water|2ED=199
Wall of Wood|2ED=60
Wanderlust|2ED=137
War Mammoth|2ED=48
Warp Artifact|2ED=1899
Water Elemental|2ED=276
Weakness|2ED=51
Web|2ED=1181
Wheel of Fortune|2ED=48500
White Knight|2ED=1557
White Ward|2ED=79
Wild Growth|2ED=200
Will-o'-the-Wisp|2ED=2794
Winter Orb|2ED=8436
Wooden Sphere|2ED=273
Word of Command|2ED=25249
Wrath of God|2ED=8000
Zombie Master|2ED=2521
Abbot of Keral Keep (1)|2X2=71
Abbot of Keral Keep (2)|2X2=15
Abzan Ascendancy (1)|2X2=126
Abzan Ascendancy (2)|2X2=18
Abzan Charm|2X2=16
Abzan Falconer|2X2=26
Advanced Stitchwing|2X2=5
Aether Vial (1)|2X2=571
Aether Vial (2)|2X2=415
Aether Vial (3)|2X2=386
Aethermage's Touch|2X2=4
Aethersnipe|2X2=9
Agony Warp|2X2=5
Ainok Bond-Kin|2X2=6
Alesha, Who Smiles at Death (1)|2X2=196
Alesha, Who Smiles at Death (2)|2X2=19
Allosaurus Shepherd (1)|2X2=5112
Allosaurus Shepherd (2)|2X2=4331
Allosaurus Shepherd (3)|2X2=4076
Ambuscade|2X2=3
Aminatou, the Fateshifter (1)|2X2=1145
Aminatou, the Fateshifter (2)|2X2=371
Anger of the Gods (1)|2X2=119
Anger of the Gods (2)|2X2=61
Anger of the Gods (3)|2X2=46
Anguished Unmaking (1)|2X2=261
Anguished Unmaking (2)|2X2=895
Animar, Soul of Elements (1)|2X2=5124
Animar, Soul of Elements (2)|2X2=4533
Annoyed Altisaur|2X2=13
Anointer of Valor|2X2=4
Arachnus Spinner|2X2=14
Arachnus Web|2X2=14
Arjun, the Shifting Flame (1)|2X2=203
Arjun, the Shifting Flame (2)|2X2=25
As Foretold (1)|2X2=173
As Foretold (2)|2X2=580
Ashen Rider (1)|2X2=40
Ashen Rider (2)|2X2=365
Ashenmoor Liege (1)|2X2=184
Ashenmoor Liege (2)|2X2=43
Assassin's Trophy (1)|2X2=602
Assassin's Trophy (2)|2X2=880
Assassin's Trophy (3)|2X2=381
Atarka's Command (1)|2X2=122
Atarka's Command (2)|2X2=492
Atla Palani, Nest Tender (1)|2X2=1017
Atla Palani, Nest Tender (2)|2X2=113
Auger Spree|2X2=6
Aurelia, the Warleader (1)|2X2=2205
Aurelia, the Warleader (2)|2X2=2254
Aven Initiate|2X2=4
Azorius Chancery (1)|2X2=159
Azorius Chancery (2)|2X2=17
Backdraft Hellkite (1)|2X2=287
Backdraft Hellkite (2)|2X2=44
Balefire Liege (1)|2X2=235
Balefire Liege (2)|2X2=337
Balustrade Spy|2X2=12
Bant Charm|2X2=21
Battlefield Promotion|2X2=3
Bear's Companion|2X2=4
Bedlam Reveler (1)|2X2=63
Bedlam Reveler (2)|2X2=16
Biogenic Upgrade|2X2=11
Bitterblossom (1)|2X2=3298
Bitterblossom (2)|2X2=3577
Blazing Hellhound|2X2=5
Blood Artist (1)|2X2=320
Blood Artist (2)|2X2=176
Bloodbraid Elf (1)|2X2=19
Bloodbraid Elf (2)|2X2=16
Bloodflow Connoisseur|2X2=7
Bloodforged Battle-Axe (1)|2X2=637
Bloodforged Battle-Axe (2)|2X2=177
Bloodforged Battle-Axe (3)|2X2=389
Bloodwater Entity|2X2=9
Bloom Tender (1)|2X2=2403
Bloom Tender (2)|2X2=3293
Bloom Tender (3)|2X2=2253
Boartusk Liege (1)|2X2=48
Boartusk Liege (2)|2X2=123
Body Double|2X2=15
Boros Garrison (1)|2X2=157
Boros Garrison (2)|2X2=19
Bounty of the Luxa|2X2=8
Breakthrough|2X2=19
Brindle Shoat|2X2=6
Bring to Light (1)|2X2=364
Bring to Light (2)|2X2=44
Bring to Light (3)|2X2=53
Burning-Tree Emissary (1)|2X2=18
Burning-Tree Emissary (2)|2X2=16
Call to the Feast|2X2=8
Capture Sphere|2X2=6
Carrier Thrall|2X2=7
Cartel Aristocrat|2X2=5
Cavern of Souls (1)|2X2=4424
Cavern of Souls (2)|2X2=5601
Cavern of Souls (3)|2X2=4391
Centaur Battlemaster|2X2=4
Chaos Warp (1)|2X2=91
Chaos Warp (2)|2X2=467
Chaos Warp (3)|2X2=563
Child of Alara (1)|2X2=129
Child of Alara (2)|2X2=370
Chronicler of Heroes|2X2=4
City of Brass (1)|2X2=2886
City of Brass (2)|2X2=2242
City of Brass (3)|2X2=4460
Civic Saber|2X2=5
Coiling Oracle (1)|2X2=24
Coiling Oracle (2)|2X2=14
Coldsteel Heart|2X2=103
Conclave Mentor|2X2=39
Concordant Crossroads (1)|2X2=2798
Concordant Crossroads (2)|2X2=2067
Concordant Crossroads (3)|2X2=2825
Conqueror's Flail (1)|2X2=1178
Conqueror's Flail (2)|2X2=494
Consecrated Sphinx (1)|2X2=4523
Consecrated Sphinx (2)|2X2=3660
Consecrated Sphinx (3)|2X2=3317
Crackling Doom|2X2=32
Creakwood Liege (1)|2X2=171
Creakwood Liege (2)|2X2=475
Crucible of Worlds (1)|2X2=3080
